first_week_day,last_week_day,age_group,gender,weekly_tests_num,weekly_cases,weekly_deceased
2020-05-03,2020-05-09,45-49,נקבה,1859,<15,0.0
2020-05-03,2020-05-09,50-54,זכר,1364,<15,0.0
2020-05-03,2020-05-09,50-54,לא ידוע,<15,0.0,0.0
2020-05-03,2020-05-09,50-54,נקבה,1677,<15,0.0
2020-05-03,2020-05-09,55-59,זכר,1066,<15,0.0
2020-05-03,2020-05-09,55-59,לא ידוע,<15,0.0,0.0
2020-05-03,2020-05-09,55-59,נקבה,1503,<15,0.0
2020-05-03,2020-05-09,60-64,זכר,1061,<15,0.0
2020-05-03,2020-05-09,60-64,לא ידוע,<15,0.0,0.0
2020-05-03,2020-05-09,60-64,נקבה,1443,<15,0.0
2020-05-03,2020-05-09,65-69,זכר,1033,<15,<15
2020-05-03,2020-05-09,65-69,לא ידוע,<15,0.0,0.0
2020-05-03,2020-05-09,65-69,נקבה,1057,<15,0.0
2020-05-03,2020-05-09,70-74,זכר,977,<15,<15
2020-05-03,2020-05-09,70-74,לא ידוע,<15,0.0,0.0
2020-05-03,2020-05-09,70-74,נקבה,1079,<15,0.0
2020-05-03,2020-05-09,75-79,זכר,700,<15,<15
2020-05-03,2020-05-09,75-79,לא ידוע,<15,0.0,0.0
2020-05-03,2020-05-09,75-79,נקבה,863,<15,<15
2020-05-03,2020-05-09,80+,זכר,2299,<15,<15
2020-05-03,2020-05-09,80+,לא ידוע,<15,0.0,0.0
2020-05-03,2020-05-09,80+,נקבה,4899,<15,<15
2020-05-03,2020-05-09,NULL,זכר,817,<15,0.0
2020-05-03,2020-05-09,NULL,לא ידוע,239,0.0,0.0
2020-05-03,2020-05-09,NULL,נקבה,937,<15,0.0
2020-05-10,2020-05-16,0-19,זכר,2034,21.0,0.0
2020-05-10,2020-05-16,0-19,לא ידוע,15,0.0,0.0
2020-05-10,2020-05-16,0-19,נקבה,1665,22.0,0.0
2020-05-10,2020-05-16,20-24,זכר,1296,<15,0.0
2020-05-10,2020-05-16,20-24,לא ידוע,<15,0.0,0.0
2020-05-10,2020-05-16,20-24,נקבה,1314,<15,0.0
2020-05-10,2020-05-16,25-29,זכר,1211,<15,0.0
2020-05-10,2020-05-16,25-29,לא ידוע,<15,0.0,0.0
2020-05-10,2020-05-16,25-29,נקבה,1567,<15,0.0
2020-05-10,2020-05-16,30-34,זכר,1233,<15,0.0
2020-05-10,2020-05-16,30-34,לא ידוע,<15,0.0,0.0
2020-05-10,2020-05-16,30-34,נקבה,1620,<15,0.0
2020-05-10,2020-05-16,35-39,זכר,1215,<15,0.0
2020-05-10,2020-05-16,35-39,לא ידוע,<15,0.0,0.0
2020-05-10,2020-05-16,35-39,נקבה,1687,<15,0.0
2020-05-10,2020-05-16,40-44,זכר,1182,<15,0.0
2020-05-10,2020-05-16,40-44,לא ידוע,<15,0.0,0.0
2020-05-10,2020-05-16,40-44,נקבה,1825,<15,0.0
2020-05-10,2020-05-16,45-49,זכר,1086,<15,0.0
2020-05-10,2020-05-16,45-49,לא ידוע,<15,0.0,0.0
2020-05-10,2020-05-16,45-49,נקבה,1419,<15,0.0
2020-05-10,2020-05-16,50-54,זכר,887,<15,<15
2020-05-10,2020-05-16,50-54,לא ידוע,<15,0.0,0.0
2020-05-10,2020-05-16,50-54,נקבה,1228,<15,<15
2020-05-10,2020-05-16,55-59,זכר,767,<15,0.0
2020-05-10,2020-05-16,55-59,לא ידוע,<15,0.0,0.0
2020-05-10,2020-05-16,55-59,נקבה,1107,<15,0.0
2020-05-10,2020-05-16,60-64,זכר,789,<15,<15
2020-05-10,2020-05-16,60-64,לא ידוע,<15,0.0,0.0
2020-05-10,2020-05-16,60-64,נקבה,1095,<15,0.0
2020-05-10,2020-05-16,65-69,זכר,842,<15,<15
2020-05-10,2020-05-16,65-69,לא ידוע,<15,0.0,0.0
2020-05-10,2020-05-16,65-69,נקבה,1061,<15,0.0
2020-05-10,2020-05-16,70-74,זכר,924,<15,<15
