VaccinationDate,age_group,first_dose,second_dose
2021-03-08,0-19,3030,5836
2021-03-08,50-59,2796,7170
2021-03-08,30-39,6144,19622
2021-03-08,60-69,1668,3651
2021-03-08,70-79,912,1689
2021-03-08,40-49,4088,11568
2021-03-09,20-29,7765,23984
2021-03-09,90+,89,170
2021-03-09,30-39,5899,20084
2021-03-09,40-49,4069,11971
2021-03-09,70-79,820,1748
2021-03-09,80-89,435,773
2021-03-09,0-19,3065,6800
2021-03-09,50-59,2685,7205
2021-03-09,60-69,1691,3655
2021-03-10,80-89,341,426
2021-03-10,40-49,3505,9159
2021-03-10,60-69,1289,2426
2021-03-10,30-39,4914,15062
2021-03-10,70-79,725,1058
2021-03-10,90+,90,97
2021-03-10,0-19,3135,5341
2021-03-10,50-59,2201,5228
2021-03-10,20-29,6853,19635
2021-03-11,80-89,321,410
2021-03-11,60-69,1331,2949
2021-03-11,90+,77,63
2021-03-11,30-39,5303,18543
2021-03-11,40-49,3614,11454
2021-03-11,70-79,605,1093
2021-03-11,20-29,6765,21524
2021-03-11,50-59,2232,6430
2021-03-11,0-19,2822,6332
2021-03-12,50-59,1041,3912
2021-03-12,40-49,1782,6891
2021-03-12,60-69,576,1564
2021-03-12,20-29,3396,12969
2021-03-12,90+,27,24
2021-03-12,30-39,2580,11450
2021-03-12,70-79,266,492
2021-03-12,80-89,115,184
2021-03-12,0-19,1320,3759
2021-03-13,50-59,738,2408
2021-03-13,90+,<15,26
2021-03-13,70-79,141,351
2021-03-13,40-49,1292,4137
2021-03-13,60-69,337,956
2021-03-13,30-39,1699,6167
2021-03-13,80-89,54,150
2021-03-13,20-29,2592,8233
2021-03-13,0-19,1017,2725
2021-03-14,50-59,1947,6888
2021-03-14,60-69,1201,3589
2021-03-14,40-49,3048,11886
2021-03-14,70-79,582,1724
2021-03-14,30-39,4643,19969
2021-03-14,90+,69,146
2021-03-14,80-89,295,710
2021-03-14,20-29,6340,21959
2021-03-14,0-19,2753,6852
2021-03-15,60-69,1081,3891
2021-03-15,40-49,3000,12167
2021-03-15,50-59,1855,7176
2021-03-15,80-89,271,856
2021-03-15,20-29,6139,23572
2021-03-15,0-19,2402,7374
2021-03-15,90+,58,205
2021-03-15,30-39,4574,20644
2021-03-15,70-79,516,1997
2021-03-16,0-19,2322,7241
2021-03-16,50-59,1689,6485
2021-03-16,90+,76,148
2021-03-16,80-89,261,769
2021-03-16,20-29,5759,22251
2021-03-16,60-69,1005,3462
2021-03-16,40-49,2816,10818
2021-03-16,70-79,532,1734
2021-03-16,30-39,4103,18340
2021-03-17,50-59,1690,5615
2021-03-17,20-29,5280,17875
2021-03-17,0-19,2134,5753
2021-03-17,30-39,3994,15004
2021-03-17,40-49,2638,9078
2021-03-17,70-79,473,1608
2021-03-17,60-69,1002,2925
2021-03-17,90+,46,159
2021-03-17,80-89,234,711
2021-03-18,0-19,1879,5606
2021-03-18,80-89,233,654
2021-03-18,20-29,4662,17039
2021-03-18,40-49,2473,9482
2021-03-18,60-69,933,2914
2021-03-18,50-59,1575,5640
2021-03-18,90+,69,136
2021-03-18,30-39,3646,15120
2021-03-18,70-79,446,1297
2021-03-19,0-19,772,2502
2021-03-19,80-89,75,280
2021-03-19,90+,<15,44
2021-03-19,70-79,141,548
2021-03-19,40-49,1126,4589
2021-03-19,30-39,1749,7587
2021-03-19,20-29,1925,8257
2021-03-19,60-69,321,1236
2021-03-19,50-59,668,2744
2021-03-20,80-89,47,105
2021-03-20,90+,<15,<15
2021-03-20,50-59,475,1454
